web-scraper-order,web-scraper-start-url,Url,Url-href,Nama,Usaha Utama,Produk Utama,Alamat,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama (Produk Masal),Target Pasar Utama (Produk Spesifik),Tingkat Pesaing Usaha,Total Aset,Penjualan Rata-Rata per Tahun,Proyeksi Pertumbuhan Penjualan (/tahun),Kebutuhan Pembiayaan Kredit,Nilai Aset yang dapat menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit
"1622320376-5516","https://www.bi.go.id/bisaid","Kios Riza","https://www.bi.go.id/bisaid/bisaid/Detail?pm=8jls8IB82FZvJxpZblSjXA==&mp=LhrIHvxx5uWPOvZTrS6CKw==","Kios Riza","Usaha Utama  : Rumah Makan","Produk Utama : Makanan & Minuman Ringan","Irigasi RT/RW  131/04 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN BANJAR Provinsi KALIMANTAN SELATAN 

                                        Telp : - Fax : -","Perorangan","2","Distributor","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Tinggi","Rp. 22,00 Juta","Rp. 12,00 Juta","20 %/Tahun","Rp. 6,00 Juta","Rp. 110,00 Juta","5"
"1622320386-5517","https://www.bi.go.id/bisaid","Warung Nasi Goreng Embah","https://www.bi.go.id/bisaid/bisaid/Detail?pm=AHMwNdc/fGWn9UBrD8AxlQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==","Warung Nasi Goreng Embah","Usaha Utama  : Nasi Goreng","Produk Utama : Nasi Dan Mie Goreng, Cap Cay, Dll.","Milono No. 1 RT/RW  41/- 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","2","Retail","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   70,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   30,00 %","Sedang","Rp. 47,00 Juta","Rp. 12,00 Juta","30 %/Tahun","Rp. 10,00 Juta","Rp. 31,00 Juta","4"
"1622320950-5657","https://www.bi.go.id/bisaid","Warung Suroboyo","https://www.bi.go.id/bisaid/bisaid/Detail?pm=akzvwO1Hf4kboA6BZRg+8g==&mp=fOhzApotY5QnAtxxXvjAfA==","Warung Suroboyo","Usaha Utama  : Warung Makan","Produk Utama : Mi Pangsit","Melati RT/RW  32/- 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","3","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Tinggi","Rp. 6,50 Juta","Rp. 990,00 Juta","10 %/Tahun","Rp. 10,00 Juta","Rp. 8,00 Juta","5"
"1622320068-5425","https://www.bi.go.id/bisaid","Sasha Burger","https://www.bi.go.id/bisaid/bisaid/Detail?pm=EmsCpA/F8sB5kuyAte3Ghw==&mp=Q47xnX4Fmgxfelhgew2rrQ==","Sasha Burger","Usaha Utama  : Penjual Burger","Produk Utama : Burger","Mt Haryono RT/RW  09/ 

                                        Kelurahan - Kecamatan BALIKPAPAN SELATAN Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","1","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 719,49 Juta","Rp. 10,00 Juta","- %/Tahun","Rp. 10,00 Juta","Rp. 10,50 Juta","3"
"1622320938-5653","https://www.bi.go.id/bisaid","Warung Rosdiana","https://www.bi.go.id/bisaid/bisaid/Detail?pm=BV/2MdRA1BKqwArOE0x9gQ==&mp=fOhzApotY5QnAtxxXvjAfA==","Warung Rosdiana","Usaha Utama  : Warung Makan","Produk Utama : Gado-gado","Mulawarman No.15 RT/RW  24/- 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","1","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Rendah","Rp. 0,80 Juta","Rp. 87,60 Juta","0 %/Tahun","Rp. 5,00 Juta","Rp. 5,00 Juta","5"
"1622320292-5498","https://www.bi.go.id/bisaid","PENGOLAHAN BAKSO IKAN","https://www.bi.go.id/bisaid/bisaid/Detail?pm=U4ZhOG0XBUs7Wjq1TkUzkw==&mp=Bjv3m4lcInn46OWc4jy6kQ==","PENGOLAHAN BAKSO IKAN","Usaha Utama  : BAKSO IKAN","Produk Utama : Bakso","KAKATUA RT/RW  / 

                                        Kelurahan - Kecamatan - Kabupaten KOTA KENDARI Provinsi SULAWESI TENGGARA 

                                        Telp : - Fax : -","Perorangan","11","Retail","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Sedang","Rp. 1.008,50 Juta","Rp. 1.050,00 Juta","60 %/Tahun","Rp. 0,00 Juta","Rp. 1.367,00 Juta","7"
"1622320255-5486","https://www.bi.go.id/bisaid","Toko Benny","https://www.bi.go.id/bisaid/bisaid/Detail?pm=+KpUzGQcU/AA6wKbuS30ig==&mp=2BbfzMJpZb2nANZ3GT30ng==","Toko Benny","Usaha Utama  : Warung Nasi","Produk Utama : Makanan dan Sembako","Jalan Alamsyah RPN  RT/RW  40575 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN LAMPUNG UTARA Provinsi LAMPUNG 

                                        Telp : - Fax : -","Perorangan","1","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   90,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   10,00 %","Sedang","Rp. 34,00 Juta","Rp. 37,50 Juta","20 %/Tahun","Rp. 5,00 Juta","Rp. 25,00 Juta","4"
"1622320165-5456","https://www.bi.go.id/bisaid","Depot Bu Joko","https://www.bi.go.id/bisaid/bisaid/Detail?pm=wDnMdX+hAOc3GRFMlk+mog==&mp=Q47xnX4Fmgxfelhgew2rrQ==","Depot Bu Joko","Usaha Utama  : Warung Makan","Produk Utama : Nasi Dan Es Campur","Mulawarman RT/RW  28/ 

                                        Kelurahan MANGGAR Kecamatan BALIKPAPAN TIMUR Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","2","Retail","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 231,80 Juta","Rp. 204,00 Juta","23.57 %/Tahun","Rp. 10,00 Juta","Rp. 213,00 Juta","5"
"1622320219-5474","https://www.bi.go.id/bisaid","BASO WAHYU","https://www.bi.go.id/bisaid/bisaid/Detail?pm=4bl9N00GyCglDjJev4rxQA==&mp=Bjv3m4lcInn46OWc4jy6kQ==","BASO WAHYU","Usaha Utama  : Baso Wahyu","Produk Utama : Baso","Pepaya No.12 RT/RW  5/8/2020 

                                        Kelurahan - Kecamatan - Kabupaten KOTA CILEGON Provinsi BANTEN 

                                        Telp : - Fax : -","Perorangan","2","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Tinggi","Rp. 15,00 Juta","Rp. 248,00 Juta","10 %/Tahun","Rp. 5,00 Juta","Rp. 10,00 Juta","4"
"1622320099-5435","https://www.bi.go.id/bisaid","Terapi Kelapa Bakar 17+","https://www.bi.go.id/bisaid/bisaid/Detail?pm=UqW5BlPPpTRsLjm/Qum6Dw==&mp=5JdvraNzQnzSzI+hC9alEQ==","Terapi Kelapa Bakar 17+","Usaha Utama  : Kelapa Bakar","Produk Utama : Kelapa Bakar","Patriot No. 08 RT/RW  28/ 

                                        Kelurahan BARU ILIR Kecamatan BALIKPAPAN BARAT Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","1","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Rendah","Rp. 251,82 Juta","Rp. 19,20 Juta","- %/Tahun","Rp. 4,00 Juta","Rp. 14,00 Juta","2"
