web-scraper-order,web-scraper-start-url,Url,Url-href,Nama,Usaha Utama,Produk Utama,Alamat,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama (Produk Masal),Target Pasar Utama (Produk Spesifik),Tingkat Pesaing Usaha,Total Aset,Penjualan Rata-Rata per Tahun,Proyeksi Pertumbuhan Penjualan (/tahun),Kebutuhan Pembiayaan Kredit,Nilai Aset yang dapat menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit
"1622319846-5409","https://www.bi.go.id/bisaid","Toko Mama Lian","https://www.bi.go.id/bisaid/bisaid/Detail?pm=Hwzd7Jnlya43eNuqwKs48A==&mp=xI6rAeQkygTAn3Z625IGLg==","Toko Mama Lian","Usaha Utama  : Isi Ulang Air","Produk Utama : Air Minum","Pasar Lama RT/RW  02/ 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN PASER Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","1","Retail","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 85,25 Juta","Rp. 40,00 Juta","- %/Tahun","Rp. 10,00 Juta","Rp. 33,00 Juta","2"
"1622319841-5407","https://www.bi.go.id/bisaid","Isi Ulang Air Galon","https://www.bi.go.id/bisaid/bisaid/Detail?pm=SoL21q0dMVE3fS2h2qPRYw==&mp=5JdvraNzQnzSzI+hC9alEQ==","Isi Ulang Air Galon","Usaha Utama  : Jasa Pengisian","Produk Utama : Isi Ulang Galon","Jl. Sijuk Dalam RT/RW  1/1/2020 

                                        Kelurahan AIR MERBAU Kecamatan TANJUNG PANDAN Kabupaten KABUPATEN BELITUNG Provinsi KEPULAUAN BANGKA BELITUNG 

                                        Telp : - Fax : -","Perorangan","2","Distributor","Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Rendah","Rp. 384,00 Juta","Rp. 72,00 Juta","- %/Tahun","Rp. 8,00 Juta","Rp. 1.150,00 Juta","6"
"1622319850-5410","https://www.bi.go.id/bisaid","Depot Isi Ulang Devina","https://www.bi.go.id/bisaid/bisaid/Detail?pm=GnR34FsTgFqLzuf9qaygKQ==&mp=xI6rAeQkygTAn3Z625IGLg==","Depot Isi Ulang Devina","Usaha Utama  : Isi Ulang Air Galon","Produk Utama : Air Minum","Jl Prona Tiga 03 RT/RW  19/ 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","2","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Rendah","Rp. 65,80 Juta","Rp. 70,00 Juta","- %/Tahun","Rp. 2,00 Juta","Rp. 300,00 Juta","3"
"1622319843-5408","https://www.bi.go.id/bisaid","Isi Ulang Air Minum A-R","https://www.bi.go.id/bisaid/bisaid/Detail?pm=/a0+MlEMyqr02WtlUoAfsg==&mp=xI6rAeQkygTAn3Z625IGLg==","Isi Ulang Air Minum A-R","Usaha Utama  : Isi Ulang Air Mnum","Produk Utama : Isi Ulang Air Minum","Jl Amd RT/RW  26/ 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN PENAJAM PASER UTARA Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","2","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Rendah","Rp. 118,17 Juta","Rp. 37,00 Juta","- %/Tahun","Rp. 10,00 Juta","Rp. 55,00 Juta","3"
"1622319837-5406","https://www.bi.go.id/bisaid","Air Galon Mualimin","https://www.bi.go.id/bisaid/bisaid/Detail?pm=o544IaRA2BszFegzYeutyw==&mp=xI6rAeQkygTAn3Z625IGLg==","Air Galon Mualimin","Usaha Utama  : Penjualan Air Galon","Produk Utama : Air Galon","Jl. Mustafa RT/RW  1/4/2020 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN TANJUNG JABUNG BARAT Provinsi JAMBI 

                                        Telp : - Fax : -","Perorangan","1","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 12,30 Juta","Rp. 30,00 Juta","- %/Tahun","Rp. 6,00 Juta","Rp. 10,30 Juta","4"
"1622319834-5405","https://www.bi.go.id/bisaid","Air Pompa","https://www.bi.go.id/bisaid/bisaid/Detail?pm=mZnhwXfkFr+m2PU2jc4thQ==&mp=xI6rAeQkygTAn3Z625IGLg==","Air Pompa","Usaha Utama  : Air Pompa","Produk Utama : Air","Jl. Purworejo RT/RW  03/ 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN TANJUNG JABUNG BARAT Provinsi JAMBI 

                                        Telp : - Fax : -","Perorangan","1","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 37,00 Juta","Rp. 100,00 Juta","- %/Tahun","Rp. 8,00 Juta","Rp. 35,00 Juta","3"
"1622319853-5411","https://www.bi.go.id/bisaid","Adha","https://www.bi.go.id/bisaid/bisaid/Detail?pm=Uo+Vdg6f/nk/PX7k0tRnZw==&mp=xI6rAeQkygTAn3Z625IGLg==","Adha","Usaha Utama  : Depo Air","Produk Utama : Air Galon","Negara RT/RW  1/1/2020 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN PASER Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","3","Retail","Memenuhi Order Dari Distributor/Eksportir/Trader   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 255,70 Juta","Rp. 30,00 Juta","- %/Tahun","Rp. 5,00 Juta","Rp. 80,00 Juta","4"
