web-scraper-order,web-scraper-start-url,Url,Url-href,Nama,Usaha Utama,Produk Utama,Alamat,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama (Produk Masal),Target Pasar Utama (Produk Spesifik),Tingkat Pesaing Usaha,Total Aset,Penjualan Rata-Rata per Tahun,Proyeksi Pertumbuhan Penjualan (/tahun),Kebutuhan Pembiayaan Kredit,Nilai Aset yang dapat menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit
"1622322176-5791","https://www.bi.go.id/bisaid","Arys Course","https://www.bi.go.id/bisaid/bisaid/Detail?pm=g4LBTZW2somDV0tTabdWLQ==&mp=5JdvraNzQnzSzI+hC9alEQ==","Arys Course","Usaha Utama  : Pengajar","Produk Utama : Jasa","Prapatan 12 RT/RW  26/ 

                                        Kelurahan TELAGA SARI Kecamatan BALIKPAPAN KOTA Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","1","Retail","Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Rendah","Rp. 2.085,00 Juta","Rp. 1.620,00 Juta","- %/Tahun","Rp. 5,00 Juta","Rp. 100,00 Juta","4"
"1622322180-5792","https://www.bi.go.id/bisaid","Les Privat","https://www.bi.go.id/bisaid/bisaid/Detail?pm=jVOmpA5rA26w5FOl2mmH7A==&mp=xI6rAeQkygTAn3Z625IGLg==","Les Privat","Usaha Utama  : Les Privat","Produk Utama : Les Privat","Tanjung Jumlay Saloloang RT/RW  05/ 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN PENAJAM PASER UTARA Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","3","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   90,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   10,00 %","Rendah","Rp. 15,00 Juta","Rp. 21,60 Juta","- %/Tahun","Rp. 10,00 Juta","Rp. 20,00 Juta","3"
