web-scraper-order,web-scraper-start-url,Url,Url-href,Nama,Usaha Utama,Produk Utama,Alamat,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama (Produk Masal),Target Pasar Utama (Produk Spesifik),Tingkat Pesaing Usaha,Total Aset,Penjualan Rata-Rata per Tahun,Proyeksi Pertumbuhan Penjualan (/tahun),Kebutuhan Pembiayaan Kredit,Nilai Aset yang dapat menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit
"1622322414-5815","https://www.bi.go.id/bisaid","Ardilla Fashion","https://www.bi.go.id/bisaid/bisaid/Detail?pm=j/USxDHk4y6nTeiIxVueaQ==&mp=xI6rAeQkygTAn3Z625IGLg==","Ardilla Fashion","Usaha Utama  : Tukang Jahit","Produk Utama : Pakaian Jadi","Ruhui Rahayu No 122 RT/RW  10/ 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","3","Retail","Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Sedang","Rp. 64,00 Juta","Rp. 150,00 Juta","- %/Tahun","Rp. 10,00 Juta","Rp. 50,00 Juta","3"
"1622322396-5809","https://www.bi.go.id/bisaid","Loundry Tri","https://www.bi.go.id/bisaid/bisaid/Detail?pm=TFIMGg1QD+DHn9cGbF65+w==&mp=xI6rAeQkygTAn3Z625IGLg==","Loundry Tri","Usaha Utama  : Loundry","Produk Utama : Pakaian Bersih","Jenderal Sudirman RT/RW  22/04 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN BATANG HARI Provinsi JAMBI 

                                        Telp : - Fax : -","Perorangan","2","Retail","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 13,30 Juta","Rp. 18,00 Juta","- %/Tahun","Rp. 7,00 Juta","Rp. 7,00 Juta","5"
"1622322423-5818","https://www.bi.go.id/bisaid","Penjahit Yati","https://www.bi.go.id/bisaid/bisaid/Detail?pm=gP6HQxXxc1YuM96bBfYFcg==&mp=xI6rAeQkygTAn3Z625IGLg==","Penjahit Yati","Usaha Utama  : Jahit","Produk Utama : Kain / Pakaian Jadi","Provinsi Petung RT/RW  10/ 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN PENAJAM PASER UTARA Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","7","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   60,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   40,00 %","Rendah","Rp. 29,95 Juta","Rp. 70,00 Juta","- %/Tahun","Rp. 10,00 Juta","Rp. 50,00 Juta","3"
"1622322405-5812","https://www.bi.go.id/bisaid","Kinyang Workshop","https://www.bi.go.id/bisaid/bisaid/Detail?pm=z/zqS88vYIo/cLkwYzZ9jg==&mp=Q47xnX4Fmgxfelhgew2rrQ==","Kinyang Workshop","Usaha Utama  : Kerajinan Batu Akik","Produk Utama : Batu Akik","Kp. Tegal Rejo  RT/RW  2/3/2020 

                                        Kelurahan SUNGAI BARU Kecamatan MENTOK Kabupaten KABUPATEN BANGKA BARAT Provinsi KEPULAUAN BANGKA BELITUNG 

                                        Telp : - Fax : -","Perorangan","1","Retail","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   50,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   50,00 %","Sedang","Rp. 60,00 Juta","Rp. 180,00 Juta","- %/Tahun","Rp. 10,00 Juta","Rp. 100,00 Juta","4"
"1622322438-5823","https://www.bi.go.id/bisaid","Flanetya Craft","https://www.bi.go.id/bisaid/bisaid/Detail?pm=jF/HetbbjrwxNoRu7IIlEQ==&mp=xI6rAeQkygTAn3Z625IGLg==","Flanetya Craft","Usaha Utama  : Produksi Aksesoris","Produk Utama : Aksesoris Dan Sufenir","Senaken RT/RW  11/ 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN PASER Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","2","Retail","Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Sedang","Rp. 9,00 Juta","Rp. 9,00 Juta","- %/Tahun","Rp. 5,00 Juta","Rp. 1.265,50 Juta","4"
"1622322409-5813","https://www.bi.go.id/bisaid","Es Cream","https://www.bi.go.id/bisaid/bisaid/Detail?pm=fmsIAhhadL2VJi8iwNHNrQ==&mp=Q47xnX4Fmgxfelhgew2rrQ==","Es Cream","Usaha Utama  : Es Cream","Produk Utama : Es Cream","Jend A. Yani RT/RW  57/ 

                                        Kelurahan GUNUNG SARI ILIR Kecamatan BALIKPAPAN TENGAH Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","1","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 65,26 Juta","Rp. 16,50 Juta","- %/Tahun","Rp. 10,00 Juta","Rp. 30,00 Juta","4"
"1622322449-5827","https://www.bi.go.id/bisaid","Penjahit Dewi","https://www.bi.go.id/bisaid/bisaid/Detail?pm=xOm7YrHM6At9hfDY2/X11A==&mp=xI6rAeQkygTAn3Z625IGLg==","Penjahit Dewi","Usaha Utama  : Menjahit","Produk Utama : Baju / Seragam","Jl Tirta RT/RW  08/ 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","1","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %","Tinggi","Rp. 9,05 Juta","Rp. 8,00 Juta","- %/Tahun","Rp. 5,00 Juta","Rp. 9,50 Juta","2"
"1622322402-5811","https://www.bi.go.id/bisaid","Chania Tailor","https://www.bi.go.id/bisaid/bisaid/Detail?pm=rsLKsZuFp5Uy6ikjaNRvhA==&mp=xI6rAeQkygTAn3Z625IGLg==","Chania Tailor","Usaha Utama  : Penjahit","Produk Utama : Jasa Menjahit","Serka Normalik RT/RW  20/ 

                                        Kelurahan - Kecamatan - Kabupaten KOTA JAMBI Provinsi JAMBI 

                                        Telp : - Fax : -","Perorangan","1","Retail","Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Rendah","Rp. 84,00 Juta","Rp. 24,00 Juta","- %/Tahun","Rp. 10,00 Juta","Rp. 80,00 Juta","4"
"1622322435-5822","https://www.bi.go.id/bisaid","Pembuatan Es Batu","https://www.bi.go.id/bisaid/bisaid/Detail?pm=HpHiYp3O4ZB6fxLK4/iMHw==&mp=xI6rAeQkygTAn3Z625IGLg==","Pembuatan Es Batu","Usaha Utama  : Pembuatan Es Batu","Produk Utama : Es Batu","Asrama Brimob  RT/RW  14/ 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","2","Retail","Memenuhi Order Dari Distributor/Eksportir/Trader   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 39,40 Juta","Rp. 144,00 Juta","- %/Tahun","Rp. 5,00 Juta","Rp. 30,00 Juta","3"
"1622322411-5814","https://www.bi.go.id/bisaid","R Qweena","https://www.bi.go.id/bisaid/bisaid/Detail?pm=57zZDGPxeo8KPckLhsVWag==&mp=xI6rAeQkygTAn3Z625IGLg==","R Qweena","Usaha Utama  : Rajutan Souvenir","Produk Utama : Tas, Dompet, Dll","Martadinata Gang Kinibalu No 45 RT/RW  26/ 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","1","Retail","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Rendah","Rp. 11,51 Juta","Rp. 6,00 Juta","- %/Tahun","Rp. 5,00 Juta","Rp. 350,00 Juta","6"
